DATASET;INSTITUTION_NAME;INSTITUTION_CODE;COLLECTION_CODE;CATALOG_NUMBER;REG_ID;SPECIES_NAME;INSTITUTION_CODE_1;LATITUDE;LONGITUDE;GEO_PRECISION_LEVEL;GEOREFERENCING_COMMENTS;REGISTERED_BY;SACC;YEAR;MONTH;DAY;ORIGINAL_DATE;COUNTRY;DEPARTMENT;MUNICIPALITY;STANDARDIZD_LOCALITY;ORIGINAL_LOCALITY;ORIGINAL_ELEVATION;COMMENTS ON ID;MIGRATORY;RECORD_ID;SEX
Biomap;Carnegie Museum of Natural History (CM);CM;;60378;385293;Setophaga petechia;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;3227;1917;4;17;4/17/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60378;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60380;571098;Vireo olivaceus;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;2594;1917;4;17;4/17/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;KEN;1;CM-60380;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;60394;349010;Catharus minimus;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2709;1917;4;17;4/17/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;KEN;1;CM-60394;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60450;396698;Empidonax traillii;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2288;1917;4;19;4/19/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60450;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60470;349008;Catharus minimus;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2709;1917;4;19;4/19/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;KEN;1;CM-60470;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;60487;396695;Empidonax traillii;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2288;1917;4;20;4/20/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60487;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;60500;557496;Tringa solitaria;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;517;1917;4;20;4/20/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60500;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60503;408867;Gallinago delicata;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;509;1917;4;20;4/20/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60503;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60537;571100;Vireo olivaceus;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;2594;1917;4;21;4/21/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;KEN;1;CM-60537;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60539;348920;Catharus fuscescens;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2708;1917;4;21;4/21/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;KEN;1;CM-60539;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60542;458874;Myiodynastes maculatus;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2389;1917;4;21;4/21/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60542;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60563;520635;Parkesia noveboracensis;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;3205;1917;4;23;4/23/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60563;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60579;570107;Vireo flavoviridis;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;2596;1917;4;23;4/23/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60579;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60591;566859;Tyrannus savana;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2397;1917;4;23;4/23/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60591;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60607;571248;Vireo olivaceus;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;2594;1917;4;24;4/24/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60607;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60611;396696;Empidonax traillii;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2288;1917;4;24;4/24/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60611;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;60615;329142;Bartramia longicauda;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;478;1917;4;24;4/24/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60615;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;60623;349009;Catharus minimus;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;2709;1917;4;24;4/14/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;KEN;1;CM-60623;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;60624;329143;Bartramia longicauda;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;478;1917;4;24;4/24/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60624;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60635;521497;Setophaga ruticilla;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A., Jr.;3219;1917;4;25;4/25/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;;1;CM-60635;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;60644;571099;Vireo olivaceus;CM;6462469;-71745011;5;Coordenadas tomadas de la cabecera municipal de Tame;Carriker, M.A.;2594;1917;4;25;4/25/1917;Colombia;Arauca;Tame;Palmar;Palmar, area;0;KEN;1;CM-60644;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;60697;504593;Pygochelidon cyanoleuca;CM;6416111;-7186;4;Coordenadas de la quebrada La Colorada;Carriker, M.A.;2614;1917;4;28;4/28/1917;Colombia;Arauca;Tame;La Colorada;La Colorada, area;600;;1;CM-60697;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60743;472656;Geothlypis philadelphia;CM;6416111;-7186;4;Coordenadas de la quebrada La Colorada;Carriker, M.A., Jr.;3214;1917;4;30;4/30/1917;Colombia;Arauca;Tame;La Colorada;La Colorada, area;600;;1;CM-60743;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;60753;472657;Geothlypis philadelphia;CM;6416111;-7186;4;Coordenadas de la quebrada La Colorada;Carriker, M.A., Jr.;3214;1917;4;30;4/30/1917;Colombia;Arauca;Tame;La Colorada;La Colorada, area;600;;1;CM-60753;Female
Aves Colombia [310112];Louisiana State University Museum of Natural Science;LSUMZ;Birds;61780;684240;Catharus ustulatus;LSUMZ;711317;-732178;5;Coordenadas de la cabecera municipal de Lebrija, Santander. No se ajustan a elevación registrada. No se encontró tal elevación a lo largo del municipio de Lebrija.;Carriker, M. A., Jr. (#32788);2710;1960;11;3;11/03/1960;Colombia;Santander;Lebrija;Lebrija (3937m);Lebrija;3937;KEN;1;-;
Aves Colombia [310112];Louisiana State University Museum of Natural Science;LSUMZ;Birds;61822;571067;Vireo olivaceus;LSUMZ;11192111;-74099863;3;Coordenadas asignadas a un punto en la carretera que conduce de Bonda a San Lorenzo, ajustado por elevación (328m);Carriker, M. A., Jr. (#31459);2594;1959;10;21;10/21/1959;Colombia;Magdalena;Santa Marta;Bonda (328m);Bonda;328;;1;LSUMZ-61822;
Aves Colombia [310112];Louisiana State University Museum of Natural Science;LSUMZ;Birds;61823;571068;Vireo olivaceus;LSUMZ;11192111;-74099863;3;Coordenadas asignadas a un punto en la carretera que conduce de Bonda a San Lorenzo, ajustado por elevación (328m);Carriker, M. A., Jr. (#31640);2594;1959;11;3;11/03/1959;Colombia;Magdalena;Santa Marta;Bonda (328m);Bonda;328;;1;LSUMZ-61823;
Aves Colombia [310112];Louisiana State University Museum of Natural Science;LSUMZ;Birds;61848;387286;Setophaga striata;LSUMZ;11192111;-74099863;3;Coordenadas asignadas a un punto en la carretera que conduce de Bonda a San Lorenzo, ajustado por elevación (328m);Carriker, M. A., Jr. (#31567);3229;1959;10;27;10/27/1959;Colombia;Magdalena;Santa Marta;Bonda (328m);Bonda;328;KEN;1;LSUMZ-61848;
Aves Colombia [310112];Louisiana State University Museum of Natural Science;LSUMZ;Birds;61868;520820;Parkesia noveboracensis;LSUMZ;11192111;-74099863;3;Coordenadas asignadas a un punto en la carretera que conduce de Bonda a San Lorenzo, ajustado por elevación (328m);Carriker, M. A., Jr. (#31595);3205;1959;10;31;10/31/1959;Colombia;Magdalena;Santa Marta;Bonda (328m);Bonda;328;;1;LSUMZ-61868;
Aves Colombia [310112];Louisiana State University Museum of Natural Science;LSUMZ;Birds;61875;501423;Protonotaria citrea;LSUMZ;11192111;-74099863;3;Coordenadas asignadas a un punto en la carretera que conduce de Bonda a San Lorenzo, ajustado por elevación (328m);Carriker, M. A., Jr. (#31663);3210;1959;11;5;11/05/1959;Colombia;Magdalena;Santa Marta;Bonda (328m);Bonda;328;;1;LSUMZ-61875;
Aves Colombia [310112];Louisiana State University Museum of Natural Science;LSUMZ;Birds;61876;417429;Helmitheros vermivorum;LSUMZ;1211275;-77991764;5;Coordenadas corresponden a la cabcecera municipal de Ricaurte. No se localizó Piguale;Carriker, M. A., Jr. (#30362);3204;1959;7;20;7/20/1959;Colombia;Nariño;Ricaurte;Piguale (2000m);Piqualíˆ, Ricaurte;6562;;V;LSUMZ-61876;
Aves Colombia [310112];Louisiana State University Museum of Natural Science;LSUMZ;Birds;61986;523165;Spiza americana;LSUMZ;11192111;-74099863;3;Coordenadas asignadas a un punto en la carretera que conduce de Bonda a San Lorenzo, ajustado por elevación (328m);Carriker, M. A., Jr. (#31812);3202;1960;2;6;2/06/1960;Colombia;Magdalena;Santa Marta;Bonda (328m);Bonda;328;;1;LSUMZ-61986;
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62605;556713;Tringa flavipes;ANSP;11175896;-74240278;4;Coordenada asignada a Punta de Caimán (=Punta La Gloria?), altura 16 msnm;Carriker, M.A., Jr.;521;1909;10;27;10/27/1909;Colombia;Magdalena;Santa Marta;Punta Caimán;Caiman, punta;0;;1;ANSP-62605;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62606;556714;Tringa flavipes;ANSP;11175896;-74240278;4;Coordenada asignada a Punta de Caimán (=Punta La Gloria?), altura 16 msnm;Carriker, M.A., Jr.;521;1909;10;27;10/27/1909;Colombia;Magdalena;Santa Marta;Punta Caimán;Caiman, punta;0;;1;ANSP-62606;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62848;567065;Tyrannus savana;ANSP;10866667;-7338333333;5;La coordenada corresponde al centro poblado. ;Carriker, M.A., Jr.;2397;1910;3;9;3/09/1910;Colombia;La Guajira;San Juan del Cesar;Sierra Nevada de Santa Marta PNN, Cherua;Cherua, area;1500;;1;ANSP-62848;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62870;564659;Tyrannus dominicensis;ANSP;10506891;-74177416;5;Coordenada ajustada al centro poblacdo;Carriker, M.A., Jr.;2399;1911;10;7;10/07/1911;Colombia;Magdalena;Fundación;Fundación;Fundacion, area;62;;1;ANSP-62870;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62871;564642;Tyrannus dominicensis;ANSP;10768275;-74371532;5;Localidad original Trojas de Cataca cambiado a su nombre actual Bocas de Aratacata, coordenadas asignadas al corregimiento;Carriker, M.A., Jr.;2399;1909;10;10;10/10/1909;Colombia;Magdalena;Puebloviejo;Bocas de Aracataca;Bocas de Aracataca, area;0;;1;ANSP-62871;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62872;564643;Tyrannus dominicensis;ANSP;10768275;-74371532;5;Localidad original Trojas de Cataca cambiado a su nombre actual Bocas de Aratacata, coordenadas asignadas al corregimiento;Carriker, M.A., Jr.;2399;1909;10;7;10/07/1909;Colombia;Magdalena;Puebloviejo;Bocas de Aracataca;Bocas de Aracataca, area;0;;1;ANSP-62872;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62873;564644;Tyrannus dominicensis;ANSP;10768275;-74371532;5;Localidad original Trojas de Cataca cambiado a su nombre actual Bocas de Aratacata, coordenadas asignadas al corregimiento;Carriker, M.A., Jr.;2399;1909;10;7;10/07/1909;Colombia;Magdalena;Puebloviejo;Bocas de Aracataca;Bocas de Aracataca, area;0;;1;ANSP-62873;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62874;564645;Tyrannus dominicensis;ANSP;10768275;-74371532;5;Localidad original Trojas de Cataca cambiado a su nombre actual Bocas de Aratacata, coordenadas asignadas al corregimiento;Carriker, M.A., Jr.;2399;1909;10;12;10/12/1909;Colombia;Magdalena;Puebloviejo;Bocas de Aracataca;Bocas de Aracataca, area;0;;1;ANSP-62874;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;62875;564660;Tyrannus dominicensis;ANSP;10506891;-74177416;5;Coordenada ajustada al centro poblacdo;Carriker, M.A., Jr.;2399;1911;10;8;10/08/1911;Colombia;Magdalena;Fundación;Fundación;Fundacion, area;62;;1;ANSP-62875;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63197;495267;Piranga rubra;ANSP;11239056;-73698747;4;Coordenada corresponde al centro poblado;Carriker, M.A., Jr.;3174;1910;1;14;1/14/1910;Colombia;Magdalena;Santa Marta;Don Diego;Don Diego, area;0;;1;ANSP-63197;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63198;495268;Piranga rubra;ANSP;11239056;-73698747;4;Coordenada corresponde al centro poblado;Carriker, M.A., Jr.;3174;1910;1;13;1/13/1910;Colombia;Magdalena;Santa Marta;Don Diego;Don Diego, area;0;;1;ANSP-63198;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63410;421249;Hirundo rustica;ANSP;11533333;-72916667;5;Coordenadas corresponden a la ciudad de Riohacha;Carriker, M.A., Jr.;2637;1910;5;5;5/05/1910;Colombia;La Guajira;Riohacha;Riohacha;Riohacha, area;0;;1;ANSP-63410;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63411;421250;Hirundo rustica;ANSP;11533333;-72916667;5;Coordenadas corresponden a la ciudad de Riohacha;Carriker, M.A., Jr.;2637;1910;4;30;4/30/1910;Colombia;La Guajira;Riohacha;Riohacha;Riohacha, area;0;;1;ANSP-63411;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63412;421251;Hirundo rustica;ANSP;11533333;-72916667;5;Coordenadas corresponden a la ciudad de Riohacha;Carriker, M.A., Jr.;2637;1910;5;5;5/05/1910;Colombia;La Guajira;Riohacha;Riohacha;Riohacha, area;0;;1;ANSP-63412;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63448;570135;Vireo flavoviridis;ANSP;10506891;-74177416;5;Coordenada ajustada al centro poblacdo;Carriker, M.A., Jr.;2596;1911;10;10;10/10/1911;Colombia;Magdalena;Fundación;Fundación;Fundacion, area;62;;1;ANSP-63448;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63449;570136;Vireo flavoviridis;ANSP;10506891;-74177416;5;Coordenada ajustada al centro poblacdo;Carriker, M.A., Jr.;2596;1911;10;19;10/19/1911;Colombia;Magdalena;Fundación;Fundación;Fundacion, area;62;;1;ANSP-63449;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63450;570154;Vireo flavoviridis;ANSP;10652095;-7416699;4;Coordenadas asignadas al centro poblado;Carriker, M.A., Jr.;2596;1911;9;17;9/17/1911;Colombia;Magdalena;Zona Bananera (Prado Sevilla);Tucurinca;Tucurinca, area;40;;1;ANSP-63450;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63452;571185;Vireo olivaceus;ANSP;11166637;-74150013;4;Coordenada corresponde a sitio La Tigrera;Carriker, M.A., Jr.;2594;1909;4;29;4/29/1909;Colombia;Magdalena;Santa Marta;La Tigrera;La Tigrera, area;0;KEN;1;ANSP-63452;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63453;571186;Vireo olivaceus;ANSP;11166637;-74150013;4;Coordenada corresponde a sitio La Tigrera;Carriker, M.A., Jr.;2594;1909;4;29;4/29/1909;Colombia;Magdalena;Santa Marta;La Tigrera;La Tigrera, area;0;KEN;1;ANSP-63453;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63454;571317;Vireo olivaceus;ANSP;11239056;-73698747;4;Coordenada corresponde al centro poblado;Carriker, M.A., Jr.;2594;1910;1;19;1/19/1910;Colombia;Magdalena;Santa Marta;Don Diego;Don Diego, area;0;;1;ANSP-63454;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63455;571318;Vireo olivaceus;ANSP;11239056;-73698747;4;Coordenada corresponde al centro poblado;Carriker, M.A., Jr.;2594;1910;1;18;1/18/1910;Colombia;Magdalena;Santa Marta;Don Diego;Don Diego, area;0;;1;ANSP-63455;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63456;571319;Vireo olivaceus;ANSP;11239056;-73698747;4;Coordenada corresponde al centro poblado;Carriker, M.A., Jr.;2594;1910;1;19;1/19/1910;Colombia;Magdalena;Santa Marta;Don Diego;Don Diego, area;0;;1;ANSP-63456;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63487;501274;Protonotaria citrea;ANSP;11175896;-74240278;4;Coordenada asignada a Punta de Caimán (=Punta La Gloria?), altura 16 msnm;Carriker, M.A., Jr.;3210;1909;9;28;9/28/1909;Colombia;Magdalena;Santa Marta;Punta Caimán;Caiman, punta;0;;1;ANSP-63487;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63488;501275;Protonotaria citrea;ANSP;11175896;-74240278;4;Coordenada asignada a Punta de Caimán (=Punta La Gloria?), altura 16 msnm;Carriker, M.A., Jr.;3210;1909;9;26;9/26/1909;Colombia;Magdalena;Santa Marta;Punta Caimán;Caiman, punta;0;;1;ANSP-63488;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63489;501276;Protonotaria citrea;ANSP;11175896;-74240278;4;Coordenada asignada a Punta de Caimán (=Punta La Gloria?), altura 16 msnm;Carriker, M.A., Jr.;3210;1909;9;28;9/28/1909;Colombia;Magdalena;Santa Marta;Punta Caimán;Caiman, punta;0;;1;ANSP-63489;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63490;501277;Protonotaria citrea;ANSP;11175896;-74240278;4;Coordenada asignada a Punta de Caimán (=Punta La Gloria?), altura 16 msnm;Carriker, M.A., Jr.;3210;1909;9;30;9/30/1909;Colombia;Magdalena;Santa Marta;Punta Caimán;Caiman, punta;0;;1;ANSP-63490;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63491;501278;Protonotaria citrea;ANSP;11175896;-74240278;4;Coordenada asignada a Punta de Caimán (=Punta La Gloria?), altura 16 msnm;Carriker, M.A., Jr.;3210;1909;9;30;9/30/1909;Colombia;Magdalena;Santa Marta;Punta Caimán;Caiman, punta;0;;1;ANSP-63491;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63495;521560;Setophaga ruticilla;ANSP;11100025;-7408333611;4;Coordenada corresponde a la Hacienda Cincinati;Carriker, M.A., Jr.;3219;1909;3;21;3/21/1909;Colombia;Magdalena;Santa Marta;Cincinati hacienda;Cincinati, area;0;;1;ANSP-63495;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63496;521561;Setophaga ruticilla;ANSP;11100025;-7408333611;4;Coordenada corresponde a la Hacienda Cincinati;Carriker, M.A., Jr.;3219;1909;3;6;3/06/1909;Colombia;Magdalena;Santa Marta;Cincinati hacienda;Cincinati, area;0;;1;ANSP-63496;Unknown
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63497;521599;Setophaga ruticilla;ANSP;10866667;-7338333333;5;La coordenada corresponde al centro poblado. ;Carriker, M.A., Jr.;3219;1910;3;10;3/10/1910;Colombia;La Guajira;San Juan del Cesar;Sierra Nevada de Santa Marta PNN, Cherua;Cherua, area;1500;;1;ANSP-63497;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63498;521600;Setophaga ruticilla;ANSP;10866667;-7338333333;5;La coordenada corresponde al centro poblado. ;Carriker, M.A., Jr.;3219;1910;3;11;3/11/1910;Colombia;La Guajira;San Juan del Cesar;Sierra Nevada de Santa Marta PNN, Cherua;Cherua, area;1500;;1;ANSP-63498;Female
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63504;520676;Parkesia noveboracensis;ANSP;11227466;-74174858;4;Coordenada corresponde a Mamatoco en Santa Marta;Carriker, M.A., Jr.;3205;1909;9;16;9/16/1909;Colombia;Magdalena;Santa Marta;Mamatoco;Mamatoco, area;0;;1;ANSP-63504;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63505;520677;Parkesia noveboracensis;ANSP;11227466;-74174858;4;Coordenada corresponde a Mamatoco en Santa Marta;Carriker, M.A., Jr.;3205;1909;9;16;9/16/1909;Colombia;Magdalena;Santa Marta;Mamatoco;Mamatoco, area;0;;1;ANSP-63505;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63506;520678;Parkesia noveboracensis;ANSP;11227466;-74174858;4;Coordenada corresponde a Mamatoco en Santa Marta;Carriker, M.A., Jr.;3205;1909;9;16;9/16/1909;Colombia;Magdalena;Santa Marta;Mamatoco;Mamatoco, area;0;;1;ANSP-63506;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63592;523129;Spiza americana;ANSP;10652095;-7416699;4;Coordenadas asignadas al centro poblado;Carriker, M.A., Jr.;3202;1911;9;20;9/20/1911;Colombia;Magdalena;Zona Bananera (Prado Sevilla);Tucurinca;Tucurinca, area;40;;1;ANSP-63592;Male
Biomap;Academy of Natural Sciences, Philadelphia;ANSP;ORN;63593;523107;Spiza americana;ANSP;11227466;-74174858;4;Coordenada corresponde a Mamatoco en Santa Marta;Carriker, M.A., Jr.;3202;1909;9;16;9/16/1909;Colombia;Magdalena;Santa Marta;Mamatoco;Mamatoco, area;0;;1;ANSP-63593;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;63840;639276;Progne chalybea;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A.;2627;1918;1;21;1/21/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;63843;644729;Parkesia noveboracensis;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A., Jr.;3205;1918;1;22;1/22/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;63848;604916;Setophaga castanea;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A., Jr.;3225;1918;1;22;1/22/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;63867;638035;Piranga rubra;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A.;3174;1918;1;22;1/22/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;63891;632279;Geothlypis philadelphia;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A., Jr.;3214;1918;1;23;1/23/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;63919;638036;Piranga rubra;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A.;3174;1918;1;24;1/24/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;63984;628278;Myiodynastes maculatus;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A., Jr.;2389;1918;1;26;1/26/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;63993;632280;Geothlypis philadelphia;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A., Jr.;3214;1918;1;28;1/28/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Male
Biomap;Carnegie Museum of Natural History (CM);CM;;64032;628277;Myiodynastes maculatus;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A., Jr.;2389;1918;1;29;1/29/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;64095;608957;Empidonax virescens;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A., Jr.;2287;1918;1;31;1/31/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;64104;604824;Setophaga petechia;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A., Jr.;3227;1918;1;31;1/31/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;1;-;Female
Biomap;Carnegie Museum of Natural History (CM);CM;;64105;633378;Passerina cyanea;CM;7833383;-77066551;6;Coordenadas se ubican en Sautatá, en el municipio de Turbo, en el límite con el departamento de Chocó;Carriker, M.A.;3201;1918;2;1;2/01/1918;Colombia;Antioquia;Turbo;Sautatá, área;Sautata, area;Unknown;;V;-;Male
